# Commodities the addon scans. Edit this file, then run `wowfah watchlist export`.
# category: one word, usable as `/wowfah scan <category>`. bracket: level range where demand starts.
# tags: ;-separated (leveling = demand fades as players outlevel it, raid = endgame demand, pvp).
item_id,name,category,bracket,tags
2447,Peacebloom,herb,1-20,leveling
765,Silverleaf,herb,1-20,leveling
2449,Earthroot,herb,1-20,leveling
785,Mageroyal,herb,1-20,leveling
2450,Briarthorn,herb,1-20,leveling
2452,Swiftthistle,herb,1-20,leveling
3820,Stranglekelp,herb,20-35,leveling
2453,Bruiseweed,herb,20-35,leveling
3355,Wild Steelbloom,herb,20-35,leveling
3369,Grave Moss,herb,20-35,leveling
3356,Kingsblood,herb,20-35,leveling
3357,Liferoot,herb,20-35,leveling
3818,Fadeleaf,herb,35-45,
3821,Goldthorn,herb,35-45,
3358,Khadgar's Whisker,herb,35-45,
3819,Wintersbite,herb,35-45,
8153,Wildvine,herb,35-45,
4625,Firebloom,herb,45-55,
8831,Purple Lotus,herb,45-55,
8836,Arthas' Tears,herb,45-55,
8838,Sungrass,herb,45-55,
8839,Blindweed,herb,45-55,
8845,Ghost Mushroom,herb,45-55,
8846,Gromsblood,herb,45-55,
13464,Golden Sansam,herb,55-60,raid
13463,Dreamfoil,herb,55-60,raid
13465,Mountain Silversage,herb,55-60,raid
13466,Plaguebloom,herb,55-60,raid
13467,Icecap,herb,55-60,raid
13468,Black Lotus,herb,55-60,raid
2770,Copper Ore,ore,1-20,leveling
2771,Tin Ore,ore,1-20,leveling
2775,Silver Ore,ore,1-20,leveling
2772,Iron Ore,ore,20-35,leveling
2776,Gold Ore,ore,20-35,leveling
3858,Mithril Ore,ore,35-45,
7911,Truesilver Ore,ore,35-45,
10620,Thorium Ore,ore,55-60,raid
11370,Dark Iron Ore,ore,55-60,raid
2840,Copper Bar,bar,1-20,leveling
3576,Tin Bar,bar,1-20,leveling
2841,Bronze Bar,bar,1-20,leveling
2842,Silver Bar,bar,1-20,leveling
3575,Iron Bar,bar,20-35,leveling
3859,Steel Bar,bar,20-35,leveling
3577,Gold Bar,bar,20-35,leveling
3860,Mithril Bar,bar,35-45,
6037,Truesilver Bar,bar,35-45,
12359,Thorium Bar,bar,55-60,raid
11371,Dark Iron Bar,bar,55-60,raid
12360,Arcanite Bar,bar,55-60,raid
